FPIS,Observed,Expected,OE,RR,date
53151,1087,963.7,1.13,1.13,2022-01-02
53153,66,75.38,0.88,0.88,2022-01-02
53154,1130,1102.87,1.02,1.02,2022-01-02
53156,97,90.91,1.07,1.07,2022-01-02
53185,535,584.46,0.92,0.92,2022-01-02
53158,503,512.2,0.98,0.98,2022-01-02
53168,277,269.53,1.03,1.03,2022-01-02
53170,83,67.61,1.23,1.23,2022-01-02
53172,624,640.85,0.97,0.97,2022-01-02
53177,219,247.05,0.89,0.89,2022-01-02
53178,82,84.25,0.97,0.97,2022-01-02
53179,160,218.43,0.73,0.73,2022-01-02
53181,176,228.12,0.77,0.77,2022-01-02
53182,212,302.37,0.7,0.7,2022-01-02
53183,87,90.06,0.97,0.97,2022-01-02
53167,0,21.41,0.0,0.0,2022-01-02
53218,1574,1283.53,1.23,1.23,2022-01-02
53219,1072,1066.54,1.01,1.01,2022-01-02
53220,850,806.07,1.05,1.05,2022-01-02
53511,1505,1506.21,1.0,1.0,2022-01-02
53515,48,69.75,0.69,0.69,2022-01-02
53516,58,69.35,0.84,0.84,2022-01-02
53517,79,58.87,1.34,1.34,2022-01-02
53518,29,42.6,0.68,0.68,2022-01-02
53520,250,199.07,1.26,1.26,2022-01-02
53521,89,114.34,0.78,0.78,2022-01-02
53522,20,30.46,0.66,0.66,2022-01-02
53523,142,158.46,0.9,0.9,2022-01-02
53510,19,45.32,0.42,0.42,2022-01-02
53525,103,123.3,0.84,0.84,2022-01-02
53527,270,334.84,0.81,0.81,2022-01-02
53528,104,191.36,0.54,0.54,2022-01-02
53529,49,63.24,0.77,0.77,2022-01-02
53530,116,136.29,0.85,0.85,2022-01-02
53531,146,141.4,1.03,1.03,2022-01-02
53532,447,479.97,0.93,0.93,2022-01-02
53533,214,216.07,0.99,0.99,2022-01-02
53534,356,368.17,0.97,0.97,2022-01-02
53536,252,266.44,0.95,0.95,2022-01-02
53526,18,18.96,0.95,0.95,2022-01-02
53508,131,175.31,0.75,0.75,2022-01-02
53507,45,65.71,0.68,0.68,2022-01-02
53506,22,31.89,0.69,0.69,2022-01-02
53221,1253,1226.5,1.02,1.02,2022-01-02
53222,985,806.28,1.22,1.22,2022-01-02
53223,1138,894.26,1.27,1.27,2022-01-02
53224,758,682.16,1.11,1.11,2022-01-02
53225,899,811.91,1.11,1.11,2022-01-02
53226,701,579.17,1.21,1.21,2022-01-02
53227,778,721.95,1.08,1.08,2022-01-02
53228,505,449.61,1.12,1.12,2022-01-02
53233,511,463.06,1.1,1.1,2022-01-02
53235,288,291.08,0.99,0.99,2022-01-02
53295,30,5.29,5.67,5.67,2022-01-02
53402,1119,1026.06,1.09,1.09,2022-01-02
53403,966,805.43,1.2,1.2,2022-01-02
