ID,RR_C,RR_L,date
42101,2.56,1.64,2022-01-01
25011,2.56,1.64,2022-01-01
33005,2.56,2.42,2022-01-01
25015,2.56,1.56,2022-01-01
24033,2.56,2.25,2022-01-01
29061,2.56,1.42,2022-01-01
10003,2.56,1.99,2022-01-01
19155,2.56,1.28,2022-01-01
34021,2.56,1.87,2022-01-01
21169,2.56,1.31,2022-01-01
24003,2.56,1.4,2022-01-01
46025,2.56,0.74,2022-01-01
36119,2.56,2.67,2022-01-01
29089,2.56,0.93,2022-01-01
19085,2.56,1.54,2022-01-01
21055,2.56,0.86,2022-01-01
51051,2.56,1.24,2022-01-01
51678,2.56,0.86,2022-01-01
34039,2.56,3.01,2022-01-01
21207,2.56,1.32,2022-01-01
38003,2.56,1,2022-01-01
21031,2.56,0.78,2022-01-01
51021,2.56,0.5,2022-01-01
19159,2.56,1.31,2022-01-01
17145,2.56,1.15,2022-01-01
19161,2.56,0.9,2022-01-01
17027,2.56,1.61,2022-01-01
21167,2.56,0.83,2022-01-01
21197,2.56,1.63,2022-01-01
18147,2.56,1.34,2022-01-01
29163,2.56,1.38,2022-01-01
29173,2.56,1.44,2022-01-01
36039,2.56,1.84,2022-01-01
19141,2.56,1.44,2022-01-01
29171,2.56,1.16,2022-01-01
42103,2.56,1.55,2022-01-01
29001,2.56,1.6,2022-01-01
42089,2.56,1.94,2022-01-01
51069,2.56,1.8,2022-01-01
18173,2.56,1.6,2022-01-01
19185,2.56,1.25,2022-01-01
27081,2.56,0.67,2022-01-01
17119,2.56,1.64,2022-01-01
54067,2.56,1.83,2022-01-01
19121,2.56,0.85,2022-01-01
19039,2.56,1.18,2022-01-01
50015,2.56,1.28,2022-01-01
21237,2.56,2.42,2022-01-01
36111,2.56,1.33,2022-01-01
42011,2.56,2.1,2022-01-01
21151,2.56,1.45,2022-01-01
50021,2.56,2.18,2022-01-01
18163,2.56,1.44,2022-01-01
38077,2.56,0.86,2022-01-01
27117,2.56,0.93,2022-01-01
29205,2.56,1.31,2022-01-01
21229,2.56,1.31,2022-01-01
21115,2.56,0.77,2022-01-01
54005,2.56,1.08,2022-01-01
54037,2.56,2.29,2022-01-01
