ID,Observed,Expected,OE,RR_L,date
53706,36,125.42,0.29,0.29,2021-12-01
53711,427,1029.83,0.41,0.41,2021-12-01
53713,289,457.81,0.63,0.63,2021-12-01
53808,17,25.22,0.67,0.67,2021-12-01
53715,138,277.87,0.5,0.5,2021-12-01
53716,225,380.15,0.59,0.59,2021-12-01
53717,89,262.24,0.34,0.34,2021-12-01
53718,205,303.79,0.67,0.67,2021-12-01
53714,185,332.16,0.56,0.56,2021-12-01
53726,43,115.45,0.37,0.37,2021-12-01
53801,8,17.71,0.45,0.45,2021-12-01
53802,0,0.91,0.0,0.0,2021-12-01
53803,32,24.91,1.28,1.28,2021-12-01
53804,34,27.44,1.24,1.24,2021-12-01
53805,150,105.28,1.42,1.43,2021-12-01
53806,66,35.18,1.88,1.88,2021-12-01
53807,93,104.44,0.89,0.89,2021-12-01
53719,294,647.72,0.45,0.45,2021-12-01
54521,219,164.36,1.33,1.33,2021-12-02
54520,110,89.14,1.23,1.23,2021-12-02
54519,24,26.33,0.91,0.91,2021-12-02
54512,10,17.98,0.56,0.56,2021-12-02
54515,6,9.31,0.64,0.64,2021-12-02
54514,25,37.22,0.67,0.67,2021-12-02
54513,6,8.19,0.73,0.73,2021-12-02
54517,0,2.18,0.0,0.0,2021-12-02
54524,7,13.14,0.53,0.53,2021-12-02
54539,35,26.29,1.33,1.33,2021-12-02
54526,0,15.26,0.0,0.0,2021-12-02
54527,17,17.81,0.95,0.95,2021-12-02
54529,17,24.94,0.68,0.68,2021-12-02
54530,12,17.29,0.69,0.69,2021-12-02
54531,20,28.74,0.7,0.7,2021-12-02
54534,19,47.35,0.4,0.4,2021-12-02
54536,0,3.51,0.0,0.0,2021-12-02
54537,7,10.29,0.68,0.68,2021-12-02
54538,61,61.54,0.99,0.99,2021-12-02
54511,32,25.63,1.25,1.25,2021-12-02
54525,0,5.13,0.0,0.0,2021-12-02
54501,636,414.86,1.53,1.54,2021-12-02
54485,6,7.9,0.76,0.76,2021-12-02
54498,35,49.3,0.71,0.71,2021-12-02
54470,75,42.44,1.77,1.77,2021-12-02
